"","uf","cod_ibge","ano","bimestre","conta","gasto_liquidado"
"233","AL",27,2019,5,"FU19 - Demais Subfunções",7600292.89
"234","AL",27,2019,6,"Ciência e Tecnologia",6584441.5
"235","AL",27,2019,6,"Desenvolvimento Científico",983480.39
"236","AL",27,2019,6,"Desenvolvimento Tecnológico e Engenharia",46023.05
"237","AL",27,2019,6,"Difusão do Conhecimento Científico e Tecnológico",137366.76
"238","AL",27,2019,6,"FU19 - Administração Geral",2856389.92
"239","AL",27,2019,6,"FU19 - Demais Subfunções",2561181.38
"240","AL",27,2020,1,"Ciência e Tecnologia",12648745.76
"241","AL",27,2020,1,"Desenvolvimento Científico",454186.28
"242","AL",27,2020,1,"Desenvolvimento Tecnológico e Engenharia",6658.6
"243","AL",27,2020,1,"Difusão do Conhecimento Científico e Tecnológico",11695
"244","AL",27,2020,1,"FU19 - Administração Geral",1934941.19
"245","AL",27,2020,1,"FU19 - Demais Subfunções",10241264.69
"246","AL",27,2020,2,"Ciência e Tecnologia",9942083.49
"247","AL",27,2020,2,"Desenvolvimento Científico",670482
"248","AL",27,2020,2,"Desenvolvimento Tecnológico e Engenharia",1692968.69
"249","AL",27,2020,2,"FU19 - Administração Geral",3418688.5
"250","AL",27,2020,2,"FU19 - Demais Subfunções",4159944.3
"251","AL",27,2020,3,"Ciência e Tecnologia",9383043.53
"252","AL",27,2020,3,"Desenvolvimento Científico",588858.5
"253","AL",27,2020,3,"Difusão do Conhecimento Científico e Tecnológico",6280.9
"254","AL",27,2020,3,"FU19 - Administração Geral",1586209.8
"255","AL",27,2020,3,"FU19 - Demais Subfunções",7201694.33
"256","AL",27,2020,4,"Ciência e Tecnologia",10525859.42
"257","AL",27,2020,4,"Desenvolvimento Científico",615803.5
"258","AL",27,2020,4,"Difusão do Conhecimento Científico e Tecnológico",3500
"259","AL",27,2020,4,"FU19 - Administração Geral",1463955.97
"260","AL",27,2020,4,"FU19 - Demais Subfunções",8442599.95
"261","AL",27,2020,5,"Ciência e Tecnologia",10435213.09
"262","AL",27,2020,5,"Desenvolvimento Científico",1581346.53
"263","AL",27,2020,5,"Desenvolvimento Tecnológico e Engenharia",64535.6
"264","AL",27,2020,5,"Difusão do Conhecimento Científico e Tecnológico",17280
"265","AL",27,2020,5,"FU19 - Administração Geral",1744810.83
"266","AL",27,2020,5,"FU19 - Demais Subfunções",7027240.13
"267","AL",27,2020,6,"Ciência e Tecnologia",12361190.38
"268","AL",27,2020,6,"Desenvolvimento Científico",2072794.45
"269","AL",27,2020,6,"Desenvolvimento Tecnológico e Engenharia",611855.38
"270","AL",27,2020,6,"Difusão do Conhecimento Científico e Tecnológico",51840
"271","AL",27,2020,6,"FU19 - Administração Geral",1870115.78
"272","AL",27,2020,6,"FU19 - Demais Subfunções",7754584.77
"273","AL",27,2021,1,"Ciência e Tecnologia",5120728.9
"274","AL",27,2021,1,"Desenvolvimento Científico",507388
"275","AL",27,2021,1,"Desenvolvimento Tecnológico e Engenharia",15025.39
"276","AL",27,2021,1,"FU19 - Administração Geral",1332428.08
"277","AL",27,2021,1,"FU19 - Demais Subfunções",3265887.43
"278","AL",27,2021,2,"Ciência e Tecnologia",8073271.72
"279","AL",27,2021,2,"Desenvolvimento Científico",665787.27
"280","AL",27,2021,2,"Desenvolvimento Tecnológico e Engenharia",124681.4
"281","AL",27,2021,2,"FU19 - Administração Geral",1589081.22
"282","AL",27,2021,2,"FU19 - Demais Subfunções",5693721.83
"283","AL",27,2021,3,"Ciência e Tecnologia",14003147.75
"284","AL",27,2021,3,"Desenvolvimento Científico",1689245
"285","AL",27,2021,3,"Desenvolvimento Tecnológico e Engenharia",712826.05
"286","AL",27,2021,3,"FU19 - Administração Geral",1690770.96
